Ort;coordinates_wiki;place_id
Sigmaringen;48.08666667,9.21638889;lassberg-place-0136
Soden bei Frankfurt;-;lassberg-place-0137
Solothurn;47.21666667,7.53333333;lassberg-place-0138
Sommeri (Thurgau);-;lassberg-place-0139
Sondelfingen;-;lassberg-place-0140
St. Gallen;47.42416667,9.37083333;lassberg-place-0141
St.PÃ¶lten;-;lassberg-place-0142
StÃ¼hlingen;-;lassberg-place-0143
Stein;-;lassberg-place-0144
Steinegg;-;lassberg-place-0145
Straßburg;-;lassberg-place-0146
Stuttgart;48.7775,9.18;lassberg-place-0147
TÃ¼bingen;-;lassberg-place-0148
Thun;46.76666667,7.63333333;lassberg-place-0149
Trogen (Appenzell Ausserrhoden);-;lassberg-place-0150
Ulm;48.4,9.98333333;lassberg-place-0151
Unbekannt;-;lassberg-place-0152
Uttwil_TG;-;lassberg-place-0153
Venedig;-;lassberg-place-0154
WÃ¼rzburg;-;lassberg-place-0155
Weinburg;48.1,15.53333333;lassberg-place-0156
Weinsberg;49.15180556,9.28569444;lassberg-place-0157
Weisbad;-;lassberg-place-0158
Weissenburg;-;lassberg-place-0159
Wernigerode;51.835,10.78527778;lassberg-place-0160
Wien;-;lassberg-place-0161
Willenberg;-;lassberg-place-0162
Winterthur;47.49888889,8.72861111;lassberg-place-0163
Wittelsbach;-;lassberg-place-0164
Wolfach;48.3,8.21666667;lassberg-place-0165
ZÃ¼rich;-;lassberg-place-0166
Zeil;50.11444444,8.68361111;lassberg-place-0167
Zihlschlacht;-;lassberg-place-0168
Zofingen;47.28333333,7.93333333;lassberg-place-0169
Zuben (Thurgau);-;lassberg-place-0170
Zug;47.16805556,8.51694444;lassberg-place-0171
