xml_id,entry_tag,type,title,authors,editors,pub_places,publishers,dates_text,date_attrs,notes,source_files,idno_varia,idno_riopac,idno_gnd,idno_geschichtsquellen,idno_handschriftencensus,idno_googlebooks,idno_gw,idno_uri,idno_opac_ri,idno_kalliope,idno_doi,idno_mdz,idno_dnb,idno_hathitrust,idno_bsb,idno_bsbink,idno_istc,idno_worldcat,idno_bavarikon,idno_archive,idno_dmgh
lassberg-literature-0124,bibl | biblStruct,contemporaryPublication,Die Verdienste der Schweizer um die deutsche Literatur. Academische Antrittsrede | Die Verdienste der Schweizer um die deutsche Litteratur. Academische Antrittsrede,Wilhelm Wackernagel,,Basel,J. G. Neukirch,1833,when=1833,,lassberg-literature.xml | lassberg-literature.ENRICHED.xml,,,,,,https://books.google.de/books?id=Dqc-AAAAcAAJ,,,,,,,,https://catalog.hathitrust.org/Record/009722152,,,,,,,
lassberg-literature-0125,bibl | biblStruct,contemporaryPublication,"Anzeige einer alten Handschrift der Aeneis des Heinrich von Veldeck, in: Beyträge zur Geschichte und Literatur, vorzüglich aus den Schätzen der Königl. Hof- und Centralbibliothek zu München. 7. | Anzeige einer alten Handschrift der Aeneis des Heinrich von Veldeke | Beyträge zur Geschichte und Literatur, vorzüglich aus den Schätzen der Königl. Hof- und Centralbibliothek zu München",Bernhard Joseph Docen,Johann Christoph Freiherr von Aretin,München,Lindauer,1806,when=1806,,lassberg-literature.xml | lassberg-literature.ENRICHED.xml,,,,,,https://books.google.com/books?id=nmgNnCt5vLQC,,,,,,,,,,,,,https://www.bavarikon.de/object/bav%3ABSB-MDZ-00000BSB10370664,,
lassberg-literature-0126,bibl | biblStruct,contemporaryPublication,Geschichte des Teutschen Volkes. 12 Bände. | Geschichte des teutschen Volkes,Heinrich Luden,,Gotha,J. Perthes,1825-1837,from=1825;to=1837,,lassberg-literature.xml | lassberg-literature.ENRICHED.xml,,,,,,https://books.google.de/books?id=fUAAAAAAcAAJ,,,,,,,,https://catalog.hathitrust.org/Record/000373901,,,,https://www.worldcat.org/oclc/1045567682,,,
lassberg-literature-0127,bibl | biblStruct,historicalSource,"Schwabenspiegel | München, Bayerische Staatsbibliothek, Cgm 558 | München, Bayerische Staatsbibliothek, Cgm 9299",,,Augsburg | München,Günther Zainer,,notBefore=1254;notAfter=1275 | when=1462 | from=1325;to=1350 | when=1473,,lassberg-literature.xml | lassberg-literature.ENRICHED.xml,,,https://d-nb.info/gnd/4180288-3,https://geschichtsquellen.de/werk/4329,https://handschriftencensus.de/werke/344 | https://handschriftencensus.de/9889 | https://handschriftencensus.de/3844,,https://www.gesamtkatalogderwiegendrucke.de/docs/M40944.htm,https://daten.digitale-sammlungen.de/,,,,,,,,https://inkunabeln.digitale-sammlungen.de/Ausgabe_S-213.html,https://data.cerl.org/istc/il00046000,,,,
lassberg-literature-0128,bibl | biblStruct,historicalSource,"Trojanerkrieg | Berlin, Staatsbibliothek, Ms. germ. fol. 1 (mgf 1) | München, Bayerische Staatsbibliothek, Cgm 714 (Teilstück) | St. Gallen, Stiftsbibliothek, Cod. 617 | Straßburg, Stadtbibliothek, Cod. A 90 | Wien, Österreichische Nationalbibliothek, Cod. 2690 | Würzburg, Universitätsbibliothek, M. ch. f. 24 | Köln, Historisches Archiv der Stadt, Best. 7020 (W*) 3 (Teilstück) | Der Trojanische Krieg | Bibliothek des Litterarischen Vereins in Stuttgart | ‘Trojanerkrieg’ und die anonym überlieferte Fortsetzung. Kritische Ausgabe | Wissensliteratur im Mittelalter",Konrad von Würzburg,Adelbert von Keller | Heinz Thoelen | Bianca Häberlein,Hagenau | Stuttgart | Wiesbaden,Reichert,,notBefore=1281;notAfter=1287 | notBefore=1440;notAfter=1445 | when=1858 | when=2015,,lassberg-literature.xml | lassberg-literature.ENRICHED.xml,,,,,https://handschriftencensus.de/werke/212 | https://handschriftencensus.de/4374 | https://handschriftencensus.de/4248 | https://handschriftencensus.de/5692 | https://handschriftencensus.de/2877 | https://handschriftencensus.de/2031 | https://handschriftencensus.de/6744 | https://handschriftencensus.de/5211,,,https://digital.staatsbibliothek-berlin.de/werkansicht?PPN=PPN756657482 | https://commons.wikimedia.org/wiki/File:BLV_044_Der_Trojanische_Krieg.pdf | https://reichert-verlag.de/de/fachgebiete/germanistik/germanistik_mittelalter/9783954901180_konrad_von_wuerzburg_trojanerkrieg_und_die_anonym_ueberlieferte_fortsetzung-detail,,,,,,,,,,,,,
lassberg-literature-0129,bibl | biblStruct,historicalSource,"Maria | Driu liet von der maget | Kraków, Biblioteka Jagiellońska, Berol. mgo 109 (Codex, vollständig erhalten) | Wien, Österreichische Nationalbibliothek, Cod. 2742* | München, Bayerische Staatsbibliothek, Cgm 5249/2b (Fragment) | Klosterneuburg, Stiftsbibliothek, Fragm. 461/1–12 (Fragmente) | Maria. Bruchstücke und Umarbeitungen | Altdeutsche Textbibliothek",Wernher (Priester),Carl Wesle | Hans Fromm | Julius Feifalik,Kraków | Wien | Halle (Saale) | Tübingen,M. Niemeyer | Niemeyer | C. Geroldssohn,,when=1172 | notBefore=1200;notAfter=1225 | notBefore=1250;notAfter=1275 | when=1927 | when=1969 | when=1860,"2., durchgesehene Auflage nach Carl Wesle",lassberg-literature.xml | lassberg-literature.ENRICHED.xml,,,,,https://www.handschriftencensus.de/werke/421 | https://handschriftencensus.de/1434 | https://handschriftencensus.de/1229 | https://handschriftencensus.de/1179 | https://handschriftencensus.de/1612,https://books.google.com/books/about/Priester_Wernhers_Maria.html?id=FdUMAQAAIAAJ | https://books.google.com/books/about/Driu_Liet_von_der_Maget.html?id=bvxjAAAAcAAJ,,https://fbc.pionier.net.pl/id/oai%3Ajbc.bj.uj.edu.pl%3A159362 | https://viewer.onb.ac.at/1003371B,https://opac.regesta-imperii.de/lang_en/anzeige.php?monographie=Maria%3A+Bruchst%C3%BCcke+und+Umarbeitungen+%2F+Werner+%3Cder+Pfaffe%3Epk=605753 | https://opac.regesta-imperii.de/lang_en/suche.php?thes=Wernher+%3CPriester%3E+%281170%2F72c%29,,,,,,https://www.digitale-sammlungen.de/de/details/bsb10123020,,,,,,
lassberg-literature-0130,bibl | biblStruct,contemporaryPublication,Reinhart Fuchs,August Friedrich Herrmann Geyder | Jacob Grimm,,Berlin,Reimer,1834,when=1834,,lassberg-literature.xml | lassberg-literature.ENRICHED.xml,,,,,,,,,,,,,,https://catalog.hathitrust.org/Record/001357203,https://www.digitale-sammlungen.de/en/view/bsb10116926,,,,,,
lassberg-literature-0131,bibl | biblStruct,historicalSource,"Die Mörin | Berlin, Staatsbibliothek, mgq 1899 | København, Det Kongelige Bibliotek, Cod. Thott. 423, 2° | Leipzig, Universitätsbibliothek, Ms. Apel 8 | London, British Library, Add MS 10010 | Strasbourg, Bibliothèque nationale et universitaire, ms. 2327 (früher L germ. 352.4°) | Toruń (Thorn), Universitätsbibliothek, Rps 49/IV | Wien, Österreichische Nationalbibliothek, Cod. 2794 | Wien, Österreichische Nationalbibliothek, Cod. 2946 | Deutsche Klassiker des Mittelalters | Bibliothek des Litterarischen Vereins in Stuttgart",Hermann von Sachsenheim,Horst Dieter Schlosser | Ernst Martin,Wiesbaden | Tübingen | Straßburg,Johann Grüninger,,when=1453 | when=1974 | when=1878 | when=1512,,lassberg-literature.xml | lassberg-literature.ENRICHED.xml,,,,,https://handschriftencensus.de/werke/889 | https://handschriftencensus.de/4554 | https://handschriftencensus.de/5289 | https://handschriftencensus.de/3724 | https://handschriftencensus.de/5376 | https://handschriftencensus.de/5834 | https://handschriftencensus.de/13938 | https://handschriftencensus.de/6507 | https://handschriftencensus.de/6553,,,,,,,,,,https://www.digitale-sammlungen.de/de/view/bsb00086873,,,,,,
lassberg-literature-0132,bibl | biblStruct,contemporaryPublication,"Minnesinger. Deutsche Liederdichter des zwölften, dreizehnten und vierzehnten Jahrhunderts, aus allen bekannten Handschriften und früheren Drucken",Friedrich Heinrich von der Hagen,,Leipzig,,1838,when=1838,,lassberg-literature.xml | lassberg-literature.ENRICHED.xml,https://archive.org/details/minnesingerdeut00hagegoog,,,,,,,https://archive.org/details/minnesingerdeut00hagegoog,,,,,,,,,,,,,
lassberg-literature-0133,bibl | biblStruct,historicalSource,"Frauendienst | Augsburg, Staats- und Stadtbibliothek, Fragm. germ. 10 (Fragment, 1 Blatt) | Landshut, Staatsarchiv, Vom Einband der Fischmeisteramtsrechnungen 1510 (Fragment, 3 Stücke eines Doppelblattes) | München, Bayerische Staatsbibliothek, Cgm 44 (Codex, fast vollständig) | Deutsche Dichtungen des Mittelalters | Göppinger Arbeiten zur Germanistik",Ulrich von Lichtenstein,Karl Lachmann; Theodor Georg Karajan | Reinhold Bechstein | Franz Viktor Spechtler,Augsburg | Landshut | München | Berlin | Leipzig | Göppingen,Kümmerle,,when=1255 | notBefore=1275;notAfter=1300 | notBefore=1290;notAfter=1305 | when=1841 | when=1888 | when=1987 | when=2003,,lassberg-literature.xml | lassberg-literature.ENRICHED.xml,,,,https://geschichtsquellen.de/werk/4590,https://www.handschriftencensus.de/werke/386 | https://www.handschriftencensus.de/1305 | https://www.handschriftencensus.de/1306 | https://www.handschriftencensus.de/1307,,,https://daten.digitale-sammlungen.de/bsb00002233/image_1,https://opac.regesta-imperii.de/lang_en/anzeige.php?monographie=Frauendienst+%2F+Ulrich+von+Liechtenstein.=2873406 | https://opac.regesta-imperii.de/lang_de/autoren.php?name=Spechtler%2C+Franz+Viktor,,,,,,,,,,,,
