[invalid-url-note] lassberg-letter-1946: published_in_url is not a URL, dropped: '-'
[invalid-url-note] lassberg-letter-1949: published_in_url is not a URL, dropped: '-'
[invalid-url-note] lassberg-letter-1955: published_in_url is not a URL, dropped: '-'
[invalid-url-note] lassberg-letter-1959: published_in_url is not a URL, dropped: '-'
[invalid-url-note] lassberg-letter-1960: published_in_url is not a URL, dropped: '-'
[invalid-url-note] lassberg-letter-1962: published_in_url is not a URL, dropped: '-'
[invalid-url-note] lassberg-letter-1969: published_in_url is not a URL, dropped: '-'
[invalid-url-note] lassberg-letter-1984: published_in_url is not a URL, dropped: '-'
[invalid-url-note] lassberg-letter-1985: published_in_url is not a URL, dropped: '-'
[invalid-url-note] lassberg-letter-1999: published_in_url is not a URL, dropped: '-'
[invalid-url-note] lassberg-letter-2013: published_in_url is not a URL, dropped: '-'
[invalid-url-note] lassberg-letter-2016: published_in_url is not a URL, dropped: '-'
[invalid-url-note] lassberg-letter-2021: published_in_url is not a URL, dropped: '-'
[invalid-url-note] lassberg-letter-2022: published_in_url is not a URL, dropped: '-'
[invalid-url-note] lassberg-letter-2051: published_in_url is not a URL, dropped: '-'
[invalid-url-note] lassberg-letter-2120: published_in_url is not a URL, dropped: '-'
[invalid-url-note] lassberg-letter-2127: published_in_url is not a URL, dropped: '-'
[invalid-url-note] lassberg-letter-2156: published_in_url is not a URL, dropped: '-'
[invalid-url-note] lassberg-letter-2161: published_in_url is not a URL, dropped: '-'
[invalid-url-note] lassberg-letter-2166: published_in_url is not a URL, dropped: '-'
[invalid-url-note] lassberg-letter-2205: published_in_url is not a URL, dropped: '-'
[invalid-url-note] lassberg-letter-2206: published_in_url is not a URL, dropped: '-'
[invalid-url-note] lassberg-letter-2214: published_in_url is not a URL, dropped: '-'
[invalid-url-note] lassberg-letter-2217: published_in_url is not a URL, dropped: '-'
[invalid-url-note] lassberg-letter-2227: published_in_url is not a URL, dropped: '-'
[invalid-url-note] lassberg-letter-2228: published_in_url is not a URL, dropped: '-'
[invalid-url-note] lassberg-letter-2235: published_in_url is not a URL, dropped: '-'
[invalid-url-note] lassberg-letter-2236: published_in_url is not a URL, dropped: '-'
[invalid-url-note] lassberg-letter-2255: published_in_url is not a URL, dropped: '-'
[invalid-url-note] lassberg-letter-2263: published_in_url is not a URL, dropped: '-'
[invalid-url-note] lassberg-letter-2270: published_in_url is not a URL, dropped: '-'
[invalid-url-note] lassberg-letter-2278: published_in_url is not a URL, dropped: '-'
[invalid-url-note] lassberg-letter-2295: published_in_url is not a URL, dropped: '-'
[invalid-url-note] lassberg-letter-2319: published_in_url is not a URL, dropped: '-'
[invalid-url-note] lassberg-letter-2358: published_in_url is not a URL, dropped: '-'
[invalid-url-note] lassberg-letter-2429: published_in_url is not a URL, dropped: '-'
[invalid-url-note] lassberg-letter-2467: published_in_url is not a URL, dropped: '-'
[invalid-url-note] lassberg-letter-2472: published_in_url is not a URL, dropped: '-'
[invalid-url-note] lassberg-letter-2474: published_in_url is not a URL, dropped: '-'
[invalid-url-note] lassberg-letter-2479: published_in_url is not a URL, dropped: '-'
[invalid-url-note] lassberg-letter-2544: published_in_url is not a URL, dropped: '-'
[invalid-url-note] lassberg-letter-2545: published_in_url is not a URL, dropped: '-'
[invalid-url-note] lassberg-letter-2595: published_in_url is not a URL, dropped: '-'
[invalid-url-note] lassberg-letter-2621: published_in_url is not a URL, dropped: '-'
[invalid-url-note] lassberg-letter-2624: published_in_url is not a URL, dropped: '-'
[invalid-url-note] lassberg-letter-2628: published_in_url is not a URL, dropped: '-'
[invalid-url-note] lassberg-letter-2632: published_in_url is not a URL, dropped: '-'
[invalid-url-note] lassberg-letter-2640: published_in_url is not a URL, dropped: '-'
[invalid-url-note] lassberg-letter-2647: published_in_url is not a URL, dropped: '-'
[invalid-url-note] lassberg-letter-2650: published_in_url is not a URL, dropped: '-'
[invalid-url-note] lassberg-letter-2659: published_in_url is not a URL, dropped: '-'
[invalid-url-note] lassberg-letter-2660: published_in_url is not a URL, dropped: '-'
[invalid-url-note] lassberg-letter-2682: published_in_url is not a URL, dropped: '-'
[invalid-url-note] lassberg-letter-2688: published_in_url is not a URL, dropped: '-'
[invalid-url-note] lassberg-letter-2693: published_in_url is not a URL, dropped: '-'
[invalid-url-note] lassberg-letter-2710: published_in_url is not a URL, dropped: '-'
[invalid-url-note] lassberg-letter-2724: published_in_url is not a URL, dropped: '-'
[invalid-url-note] lassberg-letter-2749: published_in_url is not a URL, dropped: '-'
[invalid-url-note] lassberg-letter-2768: published_in_url is not a URL, dropped: '-'
[invalid-url-note] lassberg-letter-2771: published_in_url is not a URL, dropped: '-'
[invalid-url-note] lassberg-letter-2780: published_in_url is not a URL, dropped: '-'
[invalid-url-note] lassberg-letter-2806: published_in_url is not a URL, dropped: '-'
[invalid-url-note] lassberg-letter-2846: published_in_url is not a URL, dropped: '-'
[invalid-url-note] lassberg-letter-2904: published_in_url is not a URL, dropped: '-'
[invalid-url-note] lassberg-letter-2905: published_in_url is not a URL, dropped: '-'
[invalid-url-note] lassberg-letter-2915: published_in_url is not a URL, dropped: '-'
[invalid-url-note] lassberg-letter-2954: published_in_url is not a URL, dropped: '-'
[invalid-url-note] lassberg-letter-2962: published_in_url is not a URL, dropped: '-'
[invalid-url-note] lassberg-letter-2974: published_in_url is not a URL, dropped: '-'
[invalid-url-note] lassberg-letter-2987: published_in_url is not a URL, dropped: '-'
[invalid-url-note] lassberg-letter-3022: published_in_url is not a URL, dropped: '-'
[invalid-url-note] lassberg-letter-3029: published_in_url is not a URL, dropped: '-'
[invalid-url-note] lassberg-letter-3039: published_in_url is not a URL, dropped: '-'
[invalid-url-note] lassberg-letter-3043: published_in_url is not a URL, dropped: '-'
[invalid-url-note] lassberg-letter-3044: published_in_url is not a URL, dropped: '-'
[invalid-url-note] lassberg-letter-3046: published_in_url is not a URL, dropped: '-'
