PersonName;GND;Wiki;person_id;full_name;gender;birth;occupation;degrees;publications
Karl Heinrich von Lang;118726285;https://de.wikipedia.org/wiki/Karl_Heinrich_von_Lang;lassberg-correspondent-0258;Lang, Karl Heinrich von;male;1764;Historiker,Publizist,Archivar;11;-
Johann Leonhard Hug;118707884;https://de.wikipedia.org/wiki/Johann_Leonhard_Hug;lassberg-correspondent-0206;Hug, Johann Leonhard;male;1765;Katholischer Theologe,Orientalist,Alttestamentler,Hochschullehrer,Priester;9;Prof. Dr. theol.
Joseph Anton Vincenz Belli de Pino;116114819;-;lassberg-correspondent-0228;Belli de Pino, Joseph Anton Vincenz;male;1765;Beamter,Historiker;-;-
Elisabeth zu Fürstenberg;136284124;https://de.wikipedia.org/wiki/Elisabeth_zu_F%C3%BCrstenberg;lassberg-correspondent-0076;Fürstenberg, Elisabeth zu;female;1767;-;-;-
Joseph Anderwert;11630684X;https://de.wikipedia.org/wiki/Joseph_Anderwert;lassberg-correspondent-0225;Anderwert, Joseph;male;1767;Politiker,Landrat;-;-
Daniel Huber;117030260;https://de.wikipedia.org/wiki/Daniel_Huber_%28Mathematiker%29;lassberg-correspondent-0071;Huber, Daniel;male;1768;Mathematiker,Bibliothekar,Astronom;-;Prof. Dr.
Johann Caspar Zellweger;116978813;https://de.wikipedia.org/wiki/Johann_Caspar_Zellweger;lassberg-correspondent-0193;Zellweger, Johann Caspar;male;1768;Kaufmann,Historiker;4;-
Joseph Thaddäus von Reischach;1018398708;-;lassberg-correspondent-0237;Reischach, Joseph Thaddäus von;male;1768;Söldner,Kämmerer;-;-
Markus Fidelis Jäck;104082232;https://www.deutsche-biographie.de/sfz36731.html;lassberg-correspondent-0298;Jäck, Markus Fidelis;male;1768;Katholischer Theologe,Domkapitular,Priester;-;-
Salomon Michaelis;117016985;https://de.wikipedia.org/wiki/Salomo_Michaelis;lassberg-correspondent-0334;Michaelis, Salomon;male;1768;Buchhändler,Hochschullehrer,Romanist,Philologe,Redakteur,Verleger,Germanist;-;Prof.
Johann LudwigBaldinger;1051040140;https://hls-dhs-dss.ch/de/articles/005476/2002-01-17/;lassberg-correspondent-0207;Baldinger, Johann Ludwig;male;1769;Politiker;-;-
Karl Alexander von Thurn und Taxis;104080892;https://de.wikipedia.org/wiki/Karl_Alexander_von_Thurn_und_Taxis;lassberg-correspondent-0246;Thurn und Taxis, Karl Alexander von;male;1770;-;-;-
Karl von Baden (1770–1830);116030216;https://de.wikipedia.org/wiki/Karl_von_Baden_(1770%E2%80%931830);lassberg-correspondent-0265;Baden, Karl von;male;1770;Politiker;-;-
Joseph von Laßberg;118778862;https://de.wikipedia.org/wiki/Joseph_von_La%C3%9Fberg;lassberg-correspondent-0373;Laßberg, Joseph von;male;1770;Germanist,Literarhistoriker,Verwaltungsbeamter,Politiker,Förster,Philologe;7;Dr. phil. h.c.
Salomon Fries;1132139244;-;lassberg-correspondent-0333;Fries, Salomon;notKnown;1770;Buchbinder,Buchhändler;-;-
Ernst Constantin Landgraf zu Hessen-Philippstal-Barchfeld;111076619X;https://de.wikipedia.org/wiki/Ernst_Konstantin_(Hessen-Philippsthal);lassberg-correspondent-0081;Ernst Constantin, Hessen-Philippsthal, Landgraf;male;1771;General,Offizier;-;-
Friedrich Heinrich Bothe;100051960;https://www.deutsche-biographie.de/sfz5411.html;lassberg-correspondent-0118;Bothe, Friedrich Heinrich;male;1771;Schriftsteller,Übersetzer,Klassischer Philologe;10;-
Heinrich Zschokke;118637266;https://de.wikipedia.org/wiki/Heinrich_Zschokke;lassberg-correspondent-0154;Zschokke, Heinrich;male;1771;Historiker,Politiker,Schriftsteller;10;-
Johann Baptist Ludwig Gallati;123840422;http://www.hls-dhs-dss.ch/textes/d/D11356.php;lassberg-correspondent-0187;Gallati, Johann Baptist Ludwig;male;1771;-;-;-
Johann Friedrich Steinkopf;1012365360;https://de.wikipedia.org/wiki/Johann_Friedrich_Steinkopf;lassberg-correspondent-0198;Steinkopf, Johann Friedrich;male;1771;Antiquar,Verleger;-;-
Karl Joachim (Fürstenberg-Stühlingen);1017810869;https://de.wikipedia.org/wiki/Karl_Joachim_(F%C3%BCrstenberg-St%C3%BChlingen);lassberg-correspondent-0259;Karl Joachim, Fürstenberg, Fürst;male;1771;Soldat;-;-
Therese Luise von Droste-Hülshoff;117751677;-;lassberg-correspondent-0349;Droste-Hülshoff, Therese Luise von;female;1772;-;-;-
Andreas von Merian;116891971;https://lobid.org/gnd/116891971;lassberg-correspondent-0015;Merian, Andreas von;male;1772;Staatsrat,Linguist,Diplomat;3;-
Henrich zu Stolberg-Wernigerode;117286478;https://de.wikipedia.org/wiki/Henrich_zu_Stolberg-Wernigerode;lassberg-correspondent-0156;Stolberg-Wernigerode, Henrich zu;male;1772;-;-;-
Johann Christian von Pfister;116166665;https://de.wikipedia.org/wiki/Johann_Christian_von_Pfister;lassberg-correspondent-0194;Pfister, Johann Christian von;male;1772;Prälat,Historiker;7;Dr. theol.
Johann JakobHorner;116994150;https://hls-dhs-dss.ch/de/articles/045956/2006-11-30/;lassberg-correspondent-0203;Horner, Johann Jakob;male;1772;Kunsthistoriker,Literarhistoriker,Theologe,Philosoph,Bibliothekar;1;-
Carl Nehrlich;104133368;-;lassberg-correspondent-0060;Nehrlich, Karl;male;1773;-;-;-
Christian Jakob August von Berstett;1013172132;https://de.wikipedia.org/wiki/Christian_Jakob_August_von_Berstett;lassberg-correspondent-0064;Berstett, Christian Jakob August, von;male;1773;-;-;-
Hermann von Vicari;118945467;https://de.wikipedia.org/wiki/Hermann_von_Vicari;lassberg-correspondent-0161;Vicari, Hermann von;male;1773;Erzbischof,Katholischer Theologe;-;-
Kasimir Walchner;117116580;https://www.deutsche-biographie.de/sfz84311.html#adbcontent;lassberg-correspondent-0269;Walchner, Kasimir;male;1773;Beamter,Oberamtmann,Historiker,Redakteur,Jurist;6;-
Klemens Wenzel Nepomuk Lothar von Metternich;118581465;https://en.wikipedia.org/wiki/Klemens_von_Metternich;lassberg-correspondent-0271;Metternich, Klemens Wenzel Nepomuk Lothar von;male;1773;Politiker;8;-
Raphael Georg Kiesewetter;118722239;https://de.wikipedia.org/wiki/Raphael_Georg_Kiesewetter;lassberg-correspondent-0326;Kiesewetter, R. G.;male;1773;Musikwissenschaftler,Musikschriftsteller;8;-
Anton Beller;1012176207;-;lassberg-correspondent-0020;Beller, Anton;male;1774;Pfarrer,Dekan <Kirche>;-;-
Ferdinand Varnbüler von und zu Hemmingen;100652689;https://de.wikipedia.org/wiki/Ferdinand_Varnb%C3%BCler_von_und_zu_Hemmingen;lassberg-correspondent-0089;Varnbüler von und zu Hemmingen, Ferdinand;male;1774;Politiker,General;2;-
Ignaz Heinrich von Wessenberg;118631764;https://de.wikipedia.org/wiki/Ignaz_Heinrich_von_Wessenberg;lassberg-correspondent-0168;Wessenberg, Ignaz Heinrich von;male;1774;Schriftsteller,Bischof,Katholischer Theologe,Generalvikar;9;-
Christian Moritz Engelhardt;116489081;http://www.deutsche-biographie.de/pnd116489081.html#adbcontent;lassberg-correspondent-0065;Engelhardt, Christian Moritz;male;1775;Germanist,Archäologe;6;-
Franz Joseph von Enzenberg;116515856;-;lassberg-correspondent-0104;Enzenberg, Franz Joseph von;male;1775;-;-;-
Johann Anton André;116331674;https://de.wikipedia.org/wiki/Johann_Anton_Andr%C3%A9;lassberg-correspondent-0183;André, Johann Anton;male;1775;Musikschriftsteller,Musikverleger,Arrangeur,Komponist;9;-
Melchior Kirchhofer;118842528;https://de.wikipedia.org/wiki/Melchior_Kirchhofer;lassberg-correspondent-0307;Kirchhofer, Melchior;male;1775;Pfarrer,Evangelischer Theologe,Kirchenhistoriker;8;-
Moritz Elmerhaus Maria von Haxthausen;1188862863;-;lassberg-correspondent-0311;Elmerhaus von Haxthausen, Moritz Maria;male;1775;-;-;-
Moritz von Dietrichstein;116113669;https://de.wikipedia.org/wiki/Moritz_von_Dietrichstein;lassberg-correspondent-0312;Dietrichstein, Moritz von;male;1775;Gelehrter,Komponist,Bibliothekar,Militär,Theaterintendant;4;-
Burckhardt, Emanuel;1089905092;-;lassberg-correspondent-0048;Burckhardt, Emanuel;male;1776;Unternehmer,Ratsherr;-;-
Friedrich Hermann Otto von Hohenzollern-Hechingen;116957174;https://de.wikipedia.org/wiki/Friedrich_%28Hohenzollern-Hechingen%29;lassberg-correspondent-0120;Hohenzollern-Hechingen, Friedrich von;male;1776;Offizier;-;-
Heinrich Remigius Sauerländer;119138425;https://de.wikipedia.org/wiki/Heinrich_Remigius_Sauerl%C3%A4nder_(Verleger,_1776);lassberg-correspondent-0152;Sauerländer, Heinrich Remigius;male;1776;Verleger,Drucker,Buchhändler;-;-
Joseph Görres;11854019X;https://de.wikipedia.org/wiki/Joseph_G%C3%B6rres;lassberg-correspondent-0231;Görres, Joseph von;male;1776;Historiker,Publizist;10;Prof.
Johann Nepomuk Vanotti;117346608;https://de.wikipedia.org/wiki/Johann_Nepomuk_Vanotti;lassberg-correspondent-0214;Vanotti, Johann Nepomuk von;male;1777;Pfarrer,Historiker,Katholischer Theologe;2;Dr. theol.
Johann August Zeune;116984465;https://de.wikipedia.org/wiki/Johann_August_Zeune;lassberg-correspondent-0184;Zeune, August;male;1778;Pädagoge,Germanist,Geograf;9;Prof. Dr.
Lorenz Oken;118589717;https://de.wikipedia.org/wiki/Lorenz_Oken;lassberg-correspondent-0278;Oken, Lorenz;male;1779;Physiologe,Philosoph,Zoologe,Hochschullehrer,Naturwissenschaftler;10;Prof. Dr.
Carl Christian Gratianus;116823860;-;lassberg-correspondent-0053;Gratianus, Carl Christian;male;1780;Pfarrer;-;-
Conradin Kreutzer;11871600X;https://de.wikipedia.org/wiki/Conradin_Kreutzer;lassberg-correspondent-0069;Kreutzer, Conradin;male;1780;Komponist,Pianist,Musiklehrer,Kapellmeister,Musiker;10;-
Friedrich Heinrich von der Hagen;118829130;https://de.wikipedia.org/wiki/Friedrich_Heinrich_von_der_Hagen;lassberg-correspondent-0119;Hagen, Friedrich Heinrich von der;male;1780;Germanist,Hochschullehrer,Bibliothekar,Übersetzer,Jurist;8;Prof.
Jakob Heinrich Laupp;116755474;-;lassberg-correspondent-0173;Laupp, Jakob Heinrich;male;1780;Verleger,Buchhändler;-;-
Werner von Haxthausen;119419173;https://de.wikipedia.org/wiki/Werner_von_Haxthausen;lassberg-correspondent-0359;Haxthausen, Werner von;male;1780;Schriftsteller,Politiker;2;-
Wilhelm Martin Leberecht de Wette;118631977;https://de.wikipedia.org/wiki/Wilhelm_Martin_Leberecht_de_Wette;lassberg-correspondent-0365;Wette, Wilhelm Martin Leberecht de;male;1780;Evangelischer Theologe,Philologe,Exeget;10;Prof.
Alexius zu Bentheim und Steinfurt;116122722;https://de.wikipedia.org/wiki/Alexius_zu_Bentheim_und_Steinfurt;lassberg-correspondent-0006;Bentheim und Steinfurt, Alexis Friedrich zu;male;1781;-;-;-
Johann Rudolf Wyss;117349666;https://de.wikipedia.org/wiki/Johann_Rudolf_Wyss;lassberg-correspondent-0215;Wyss, Johann Rudolf;male;1781;Schriftsteller,Philosoph;7;-
Karl EmanuelBertschinger;1051066263;https://hls-dhs-dss.ch/de/articles/005480/2002-09-11/;lassberg-correspondent-0251;Bertschinger, Karl Emanuel;male;1781;-;-;-
Karl Hartwig Gregor von Meusebach;118733230;https://de.wikipedia.org/wiki/Karl_Hartwig_Gregor_von_Meusebach;lassberg-correspondent-0256;Meusebach, Karl Hartwig Gregor von;male;1781;Literarhistoriker,Germanist,Bibliophiler,Jurist;3;-
Faustin Ens;116506083;https://de.wikipedia.org/wiki/Faustin_Ens;lassberg-correspondent-0083;Ens, Faustin;male;1782;Lehrer,Historiker,Topograf;-;-
Johann Sulpiz Melchior Dominikus Boisserée;11851301X;https://de.wikipedia.org/wiki/Sulpiz_Boisser%C3%A9e;lassberg-correspondent-0216;Boisserée, Sulpiz;male;1783;Kunsthistoriker,Kunstsammler,Mäzen;6;-
Peter Richarz;116508922;https://de.wikipedia.org/wiki/Peter_von_Richarz;lassberg-correspondent-0322;Richarz, Peter von;male;1783;Philologe,Bischof,Politiker;7;-
Louise Cochelet;138614555;-;lassberg-correspondent-0279;Cochelet, Louise;notKnown;1783;Hofdame;-;-
Christian Wilhelm Sixt von Armin;117662585;https://lobid.org/gnd/117662585;lassberg-correspondent-0066;Armin, Christian Wilhelm Sixt von;male;1784;Diplomat;-;-
Franz Josef Waitzenegger;11711555X;https://de.wikipedia.org/wiki/Franz_Josef_Waitzenegger;lassberg-correspondent-0101;Waitzenegger, Franz Joseph;male;1784;Germanist,Priester,Archivar;5;-
Pierre Antoine Tardieu;131519808;https://de.wikipedia.org/wiki/Pierre_Antoine_Tardieu;lassberg-correspondent-0325;Tardieu, Pierre Antoine François;notKnown;1784;Kupferstecher;-;-
Jacob Grimm;118542257;https://de.wikipedia.org/wiki/Jacob_Grimm;lassberg-correspondent-0170;Grimm, Jacob;male;1785;Bibliothekar,Philologe,Schriftsteller,Historiker,Literaturwissenschaftler,Jurist,Hochschullehrer;6;Prof.
Johann Andreas Schmeller;118608533;https://de.wikipedia.org/wiki/Johann_Andreas_Schmeller;lassberg-correspondent-0182;Schmeller, Johann Andreas;male;1785;Bibliothekar,Philosoph,Germanist,Linguist,Herausgeber,Arrangeur;11;-
Karl Anton Friedrich Meinrad Fidelis von Hohenzollern-Sigmaringen;116957433;https://de.wikipedia.org/wiki/Karl_(Hohenzollern-Sigmaringen);lassberg-correspondent-0248;Karl, Hohenzollern-Sigmaringen, Fürst;male;1785;-;-;-
Lambert Büchler;117051772;-;lassberg-correspondent-0274;Büchler, Lambert;male;1785;Historiker,Publizist,Schriftsteller;-;-
Bernharda Bilharz;1184403228;-;lassberg-correspondent-0044;Bilharz, Bernharda;female;1786;Priorin,Nonne;-;-
Caroline Luise von Schaumburg-Lippe;117112887;-;lassberg-correspondent-0061;Schaumburg-Lippe, Caroline Luise von;female;1786;-;-;-
Johann Mailáth;116688912;https://de.wikipedia.org/wiki/Johann_Mail%C3%A1th;lassberg-correspondent-0208;Mailáth, Johann;male;1786;Schriftsteller,Historiker,Übersetzer;18;-
Justinus Kerner;118561545;https://de.wikipedia.org/wiki/Justinus_Kerner;lassberg-correspondent-0242;Kerner, Justinus;male;1786;Librettist,Arzt,Schriftsteller;10;Dr.
Karl Mayer;11921895X;https://en.wikipedia.org/wiki/Karl_Mayer_%28poet%29;lassberg-correspondent-0262;Mayer, Karl;male;1786;Lyriker,Jurist,Schriftsteller;5;-
Wilhelm Grimm;118542265;https://de.wikipedia.org/wiki/Wilhelm_Grimm;lassberg-correspondent-0362;Grimm, Wilhelm;male;1786;Bibliothekar,Germanist,Schriftsteller,Jurist,Philologe;13;Prof.
Sophie von Haxthausen;11655259X;-;lassberg-correspondent-0341;Haxthausen, Sophie von;female;1787;-;-;-
Hurter, Friedrich von;118708244;https://de.wikipedia.org/wiki/Friedrich_Emanuel_von_Hurter;lassberg-correspondent-0167;Hurter, Friedrich von;male;1787;Historiker,Theologe;20;-
Johann Caspar von Orelli;118787179;https://de.wikipedia.org/wiki/Johann_Caspar_von_Orelli;lassberg-correspondent-0192;Orelli, Johann Kaspar von;male;1787;Schriftsteller,Theologe,Klassischer Philologe,Pfarrer;5;Prof.
Ludwig Friedrich Fues;116854456;-;lassberg-correspondent-0282;Fues, Ludwig Friedrich;male;1787;Buchhändler,Verleger,Drucker;-;-
Ludwig Uhland;118625063;https://de.wikipedia.org/wiki/Ludwig_Uhland;lassberg-correspondent-0288;Uhland, Ludwig;male;1787;Jurist,Abgeordneter,Literarhistoriker,Politiker,Hochschullehrer,Germanist,Librettist,Schriftsteller;8;Dr.
Bernhard Zeerleder;116968095;https://de.wikipedia.org/wiki/Bernhard_Zeerleder;lassberg-correspondent-0043;Zeerleder, Bernhard von;male;1788;Politiker;-;-
Friedrich Carl von und zu Brenken;116484985;https://de.wikipedia.org/wiki/Friedrich_Carl_von_und_zu_Brenken;lassberg-correspondent-0113;Brenken, Friedrich Karl Dominik von und zu;male;1790;Politiker;-;-
Karl Leopold I. Friedrich von Baden;118965123;https://de.wikipedia.org/wiki/Leopold_(Baden);lassberg-correspondent-0261;Leopold I., Baden, Großherzog;male;1790;-;-;-
Wilhelm Ambrosius Barth;116119578;https://de.wikipedia.org/wiki/Wilhelm_Ambrosius_Barth;lassberg-correspondent-0360;Barth, Wilhelm Ambrosius;male;1790;Verleger,Buchhändler;-;-
Leopoldine zu Hohenlohe-Waldenburg-Schillingsfürst;116956070;-;lassberg-correspondent-0276;Hohenlohe-Waldenburg-Schillingsfürst, Leopoldine zu;female;1791;-;-;-
Ernst Julius Leichtlen;116878479;https://de.wikipedia.org/wiki/Ernst_Julius_Leichtlen;lassberg-correspondent-0082;Leichtlen, Ernst Julius;male;1791;Archivar,Historiker;4;-
Joseph Eiselein;116426292;https://de.wikipedia.org/wiki/Joseph_Eiselein;lassberg-correspondent-0229;Eiselein, Joseph;male;1791;Bibliothekar,Schriftsteller,Gymnasiallehrer;10;-
Ludwig Kraft Ernst Karl Fürst zu Oettingen-Oettingen und Oettingen-Wallerstein;118589555;https://de.wikipedia.org/wiki/Ludwig_(Oettingen-Wallerstein);lassberg-correspondent-0285;Oettingen-Wallerstein, Ludwig zu;male;1791;Kunstsammler,Minister,Politiker,Regierungspräsident;6;-
Samuel Amsler;116010991;https://de.wikipedia.org/wiki/Samuel_Amsler;lassberg-correspondent-0335;Amsler, Samuel;male;1791;Kupferstecher,Künstler;2;-
August von Haxthausen;118547305;https://de.wikipedia.org/wiki/August_Franz_von_Haxthausen;lassberg-correspondent-0029;Haxthausen, August von;male;1792;Volkswirt,Schriftsteller,Jurist,Landwirt,Agrarwissenschaftler,Sammler;9;-
Franz Hurter;117071056;https://hls-dhs-dss.ch/de/articles/030345/2007-10-30/;lassberg-correspondent-0099;Hurter, Franz;male;1792;Verleger,Drucker;-;-
Gustav Friedrich Haenel;115643141;https://de.wikipedia.org/wiki/Gustav_Friedrich_H%C3%A4nel;lassberg-correspondent-0144;Haenel, Gustav Friedrich;male;1792;Hochschullehrer,Jurist,Historiker;10;Prof. Dr. jur. habil.
Gustav Schwab;118762745;https://de.wikipedia.org/wiki/Gustav_Schwab;lassberg-correspondent-0145;Schwab, Gustav;male;1792;Evangelischer Theologe,Gymnasiallehrer,Pfarrer,Klassischer Philologe,Schriftsteller,Literarhistoriker;8;Prof. Dr. theol. h.c.
Wilhelm Ludwig August, Prinz von Baden;101798393;https://de.wikipedia.org/wiki/Wilhelm_von_Baden_(1792%E2%80%931859);lassberg-correspondent-0363;Wilhelm, Baden, Markgraf;male;1792;Landwirt,Politiker,Kommandeur;-;-
Heinrich von Hennenhofer;116711353;https://de.wikipedia.org/wiki/Johann_Heinrich_David_von_Hennenhofer;lassberg-correspondent-0153;Hennenhofer, Heinrich von;male;1793;Diplomat,Major;-;-
